dataset,earliness_factor,entropy_factor,accuracy,earliness
SonyAIBORobotSurface1,0.7,0.1,1.0,0.16739128530025482
GunPoint,0.6,0.0,0.96,0.3965100944042206
DiatomSizeReduction,0.7,0.0,0.9375,0.28597384691238403
Adiac,0.8,0.1,0.39487179487179486,0.4802783727645874
ItalyPowerDemand,0.8,0.1,0.8059701492537313,0.5100584626197815
ECG200,0.8,0.01,0.93,0.3955789804458618
UWaveGestureLibraryY,0.9,0.1,0.7098214285714286,0.658069908618927
TwoPatterns,0.9,0.1,0.949,0.6852676868438721
CricketZ,0.8,0.01,0.9102564102564102,1.0
DiatomSizeReduction,0.8,0.0,1.0,0.2848837077617645
ECG200,0.7,0.1,0.87,0.4000000059604645
CBF,0.6,0.1,0.9333333333333333,0.4346456825733185
FaceFour,0.8,0.1,0.9583333333333334,0.43254539370536804
Adiac,0.8,0.0,0.441025641025641,0.28804394602775574
Symbols,0.8,0.1,0.96,0.48372796177864075
Fish,0.8,0.01,0.88,0.6228448152542114
Lightning7,0.9,0.0,0.7857142857142857,0.9999998807907104
TwoPatterns,0.8,0.01,0.988,1.0
CricketY,0.7,0.01,0.9307692307692308,0.48613327741622925
UWaveGestureLibraryX,0.6,0.01,0.7633928571428571,0.4536404013633728
SyntheticControl,0.8,0.0,1.0,1.0
WordSynonyms,0.6,0.01,0.21722846441947566,0.0
GunPoint,0.7,0.01,0.96,0.4190604090690613
Mallat,0.9,0.01,0.9636363636363636,0.4462810158729553
UWaveGestureLibraryZ,0.8,0.0,0.7678571428571429,1.0
TwoPatterns,0.6,0.0,0.977,1.0
ECG200,0.7,0.0,0.69,0.0
Wafer,0.8,0.01,0.987,0.18070200085639954
Beef,0.7,0.01,0.9666666666666667,1.0
GunPoint,0.8,0.1,0.92,0.5868456363677979
UWaveGestureLibraryX,0.8,0.0,0.84375,1.0
OliveOil,0.9,0.0,0.43333333333333335,0.0
Yoga,0.9,0.1,0.81,0.5230118036270142
SonyAIBORobotSurface2,0.6,0.1,1.0,0.49594905972480774
SonyAIBORobotSurface2,0.6,0.0,0.9259259259259259,0.24074074625968933
Adiac,0.6,0.01,0.37435897435897436,0.24515751004219055
Wafer,0.9,0.1,0.983,0.470132440328598
StarLightCurves,0.8,0.01,0.912,0.26010555028915405
